,tipo_edicao,orgao,data_publicacao,url_versao_certificada,ementa
1488,Ordinária,Ministério da Saúde/Agência Nacional de Saúde Suplementar,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=142,"Altera a Resolução Normativa - RN nº 465, de 24 de fevereiro de 2021, que dispõe sobre o Rol de Procedimentos e Eventos em Saúde no âmbito da Saúde Suplementar, para regulamentar a cobertura obrigatória do medicamento antineoplásico oral Zanubrutinibe, para o tratamento de pacientes adultos com linfoma de células do manto (LCM) que receberam pelo menos uma terapia anterior, e do medicamento imunobiológico Dupilumabe, para o tratamento de pacientes adultos com dermatite atópica grave com indicação de tratamento sistêmico e que apresentem falha, intolerância ou contraindicação à ciclosporina, em cumprimento ao disposto nos parágrafos 4º, 7º e 8º do art. 10 da Lei nº 9.656/1998; e para regulamentar a cobertura obrigatória do medicamento Romosozumabe, para o tratamento de mulheres com osteoporose na pós-menopausa, a partir dos 70 anos, e que falharam ao tratamento medicamentoso (duas ou mais fraturas); do procedimento ""TERAPIA AVANÇADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE UTILIZAÇÃO)"", visando garantir a cobertura obrigatória do medicamento especial Onasemnogeno abeparvoveque para o tratamento de pacientes pediátricos com até 6 meses de idade com AME tipo I que estejam fora de ventilação mecânica invasiva acima de 16 horas por dia; e do procedimento ""ENSAIO PARA DOSAGEM DA LIBERAÇÃO DE INTERFERON GAMA (COM DIRETRIZ DE UTILIZAÇÃO)"", para a inclusão de pacientes com doenças inflamatórias imunomediadas e os receptores de transplante de órgãos sólidos, em cumprimento ao disposto nos parágrafos 4º e 10 do art. 10 da Lei nº 9.656/1998."
1489,Ordinária,Ministério da Saúde/Secretaria de Atenção Especializada à Saúde,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=139,"Defere a Renovação do CEBAS da Associação Beneficente São Camilo, com sede em Conselheiro Lafaiete (MG)."
1490,Ordinária,Ministério de Portos e Aeroportos/Agência Nacional de Aviação Civil/Superintendência de Infraestrutura Aeroportuária,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=77,
1491,Ordinária,Ministério da Fazenda/Secretaria Especial da Receita Federal do Brasil/Subsecretaria de Fiscalização/Coordenação-Geral de Fiscalização,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=20,
1492,Ordinária,Ministério da Fazenda/Secretaria Especial da Receita Federal do Brasil/Subsecretaria-Geral da Receita Federal do Brasil/Superintendência Regional da Receita Federal do Brasil 7ª Região Fiscal,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=22,"Concede, à pessoa jurídica que menciona, habilitação para operar no Regime de Suspensão da Contribuição para o PIS/PASEP, da COFINS, da Contribuição para o PIS/PASEP - Importação e da COFINS-Importação para Aquisição ou Importação de Óleo Combustível destinado à Navegação de Cabotagem ou de Apoio Marítimo ou Portuário de que trata o art. 353, da Instrução Normativa RFB nº 2121, de 15 de dezembro de 2022."
1493,Ordinária,Ministério da Saúde/Secretaria de Atenção Especializada à Saúde,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=141,"Defere a Renovação do CEBAS da Fundação Espírita Allan Kardec, com sede em Franca (SP)."
1494,Ordinária,Ministério da Saúde/Secretaria de Atenção Especializada à Saúde,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=140,"Indefere a Concessão do CEBAS do CENTROHERD - Centro Holístico de Estudo e Recuperação em Dependências Físicas e/ou Psicológicas, com sede em Uberaba (MG)."
1495,Ordinária,Ministério da Fazenda/Secretaria Especial da Receita Federal do Brasil/Subsecretaria-Geral da Receita Federal do Brasil/Superintendência Regional da Receita Federal do Brasil 7ª Região Fiscal,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=21,"Concede, à pessoa jurídica que menciona, habilitação para operar no Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura (REIDI) de que trata a Instrução Normativa RFB nº 2.121/2022."
1496,Ordinária,Ministério da Saúde/Secretaria de Atenção Especializada à Saúde,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=141,"Defere, sub judice, a Renovação do CEBAS da Real e Benemérita Associação Portuguesa de Beneficência, com sede em São Paulo (SP)."
1497,Ordinária,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome/Gabinete do Ministro",2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=16,Dispõe sobre a convocação da 13ª Conferência Nacional de Assistência Social.
1498,Ordinária,Ministério dos Transportes/Secretaria Nacional de Trânsito,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=159,
1499,Ordinária,Ministério da Fazenda/Secretaria Especial da Receita Federal do Brasil/Subsecretaria-Geral da Receita Federal do Brasil/Superintendência Regional da Receita Federal do Brasil 7ª Região Fiscal,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=22,"Concede, à pessoa jurídica que menciona, habilitação para operar no Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura (REIDI) de que trata a Instrução Normativa RFB nº 2.121/2022."
1500,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional nos Estados do Paraná e Santa Catarina,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=6,
1501,Ordinária,Ministério do Trabalho e Emprego/Secretaria de Inspeção do Trabalho/Departamento de Fiscalização do Trabalho/Coordenação-Geral de Recursos,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=157,
1502,Ordinária,Ministério dos Transportes/Secretaria Nacional de Trânsito,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=159,
1503,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Radiofrequência e Fiscalização/Gerência-Geral de Fiscalização/Escritório Regional no Estado da Bahia,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=6,
1504,Ordinária,Ministério da Defesa/Comando da Marinha/Gabinete do Comandante,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=9,"Institui o Grupo de Fiscalização e Recebimento do Sistema de Aeronaves Remotamente Pilotadas Embarcado ""ScanEagle"" e dá outras providências."
1505,Ordinária,Ministério da Fazenda/Conselho de Recursos do Sistema Financeiro Nacional,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=19,
1506,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Outorga e Recursos à Prestação/Gerência de Outorga e Licenciamento de Estações,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=7,
1507,Ordinária,Ministério da Agricultura e Pecuária/Secretaria Executiva/Superintendência de Agricultura e Pecuária do Estado de Santa Catarina,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=3,
1508,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Outorga e Recursos à Prestação/Gerência de Outorga e Licenciamento de Estações,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=8,
1509,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Gerência Regional da ANM no Estado do Pará,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=75,
1510,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Outorga e Recursos à Prestação/Gerência de Outorga e Licenciamento de Estações,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=8,
1511,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Gerência Regional da ANM no Estado de Goiás,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=75,
1512,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Superintendência de Segurança de Barragens de Mineração/Coordenação de Planejamento e Gestão de Barragens de Mineração- Eixo Central/MG,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=76,
1513,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Superintendência de Outorga de Títulos Minerários,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=76,
1514,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Superintendência de Arrecadação e Fiscalização de Receitas,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=75,
1515,Ordinária,Ministério da Saúde/Secretaria de Atenção Especializada à Saúde,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=140,Concede autorização às equipes de saúde para retirada e transplante de tecidos.
1516,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional no Estado de São Paulo,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=6,
1517,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica/Superintendência de Concessões e Autorizações de Geração,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1518,Ordinária,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome/Secretaria Nacional de Assistência Social",2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=16,"Pactua a instituição do Programa de Fortalecimento Emergencial do Atendimento do Cadastro Único no Sistema Único da Assistência Social, e os critérios de partilha do financiamento federal do Programa no exercício de 2023 e dá outras providências."
1519,Ordinária,Ministério da Educação/Universidade Federal do Rio de Janeiro/Centro de Ciências da Saúde/Escola de Enfermagem Anna Nery,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=18,Tornar público o resultado do Processo Seletivo Simplificado para contratação de Professor Substituto do Departamento de Enfermagem Médico-Cirúrgica - Setor: Enfermagem Hospitalar da EEAN/UFRJ.
